Time,Quadrant,Color,Type
0.03333333333333333,2,red,Entry
0.03333333333333333,4,blue,Entry
0.06666666666666667,3,red,Entry
0.06666666666666667,2,blue,Exit
0.1,4,red,Entry
0.1,2,blue,Exit
0.13333333333333333,1,red,Exit
0.13333333333333333,2,blue,Exit
0.16666666666666666,1,red,Exit
0.16666666666666666,2,blue,Exit
0.2,1,red,Exit
0.2,2,blue,Exit
0.23333333333333334,1,red,Exit
0.23333333333333334,2,blue,Exit
0.26666666666666666,1,red,Exit
0.26666666666666666,2,blue,Exit
0.3,1,red,Exit
0.3,2,blue,Exit
0.36666666666666664,3,red,Exit
0.4,3,red,Entry
0.43333333333333335,3,red,Exit
0.4666666666666667,3,red,Entry
0.5,2,red,Exit
0.5333333333333333,2,red,Entry
0.6333333333333333,2,red,Exit
0.6666666666666666,2,red,Exit
0.7,2,red,Entry
0.7333333333333333,2,red,Exit
0.8333333333333334,2,red,Exit
0.9333333333333333,1,red,Entry
0.9666666666666667,3,red,Exit
1.0,3,red,Entry
1.0333333333333334,3,red,Exit
1.2,3,red,Exit
1.2333333333333334,2,red,Entry
1.2666666666666666,1,red,Exit
1.3,1,red,Entry
1.3333333333333333,1,red,Exit
1.3666666666666667,3,red,Exit
1.4,3,red,Exit
1.4333333333333333,1,red,Entry
1.4666666666666666,3,red,Exit
1.5,3,red,Entry
1.5333333333333334,2,red,Exit
1.5666666666666667,2,red,Exit
1.6666666666666667,2,red,Exit
1.7333333333333334,1,red,Exit
1.7666666666666666,1,red,Exit
1.8333333333333333,2,red,Entry
1.8666666666666667,1,red,Entry
1.9,1,red,Exit
1.9333333333333333,4,red,Exit
1.9666666666666666,4,red,Entry
2.0,2,red,Exit
2.033333333333333,3,red,Exit
2.066666666666667,3,red,Exit
2.1,3,red,Exit
2.1333333333333333,2,red,Exit
2.1333333333333333,2,blue,Entry
2.1333333333333333,2,yellow,Entry
2.1666666666666665,1,red,Exit
2.1666666666666665,4,yellow,Exit
2.2,3,red,Exit
2.2,4,yellow,Exit
2.2333333333333334,3,red,Exit
2.2333333333333334,4,yellow,Exit
2.2666666666666666,4,yellow,Exit
2.3,4,yellow,Exit
2.3333333333333335,4,yellow,Exit
2.3666666666666667,4,yellow,Exit
2.4,4,yellow,Exit
3.2333333333333334,2,red,Entry
3.2666666666666666,3,red,Entry
3.3,4,red,Exit
3.3333333333333335,4,red,Exit
3.3333333333333335,2,blue,Exit
3.3666666666666667,4,red,Exit
3.4,4,red,Exit
3.433333333333333,4,red,Exit
3.466666666666667,4,red,Exit
3.5,4,red,Exit
3.533333333333333,2,red,Exit
3.7,2,red,Entry
3.7333333333333334,3,red,Exit
3.8333333333333335,1,red,Entry
3.9,3,red,Exit
3.933333333333333,3,red,Exit
3.966666666666667,3,red,Exit
4.0,3,red,Entry
4.033333333333333,2,red,Exit
4.066666666666666,3,red,Exit
4.133333333333334,4,red,Entry
4.233333333333333,2,red,Exit
4.266666666666667,2,red,Exit
4.3,2,red,Entry
4.333333333333333,3,red,Exit
4.366666666666666,1,red,Exit
4.4,3,red,Exit
4.466666666666667,3,red,Exit
4.5,1,red,Exit
4.6,2,red,Exit
5.866666666666666,3,red,Entry
5.9,4,red,Exit
5.933333333333334,2,red,Entry
6.033333333333333,1,red,Entry
6.066666666666666,4,red,Exit
6.1,4,red,Exit
6.133333333333334,4,red,Exit
6.2,3,red,Exit
6.233333333333333,3,red,Entry
6.266666666666667,4,red,Exit
6.3,4,red,Exit
6.333333333333333,1,red,Exit
6.366666666666666,1,red,Exit
6.4,1,red,Exit
6.433333333333334,1,red,Entry
6.533333333333333,3,red,Exit
6.566666666666666,3,red,Exit
6.633333333333334,2,red,Exit
6.666666666666667,3,red,Exit
6.7,3,red,Exit
6.733333333333333,4,red,Entry
6.766666666666667,3,red,Exit
6.9,2,red,Entry
7.0,2,blue,Entry
7.033333333333333,3,red,Entry
7.066666666666666,4,red,Exit
7.1,1,red,Exit
7.133333333333334,1,red,Exit
7.166666666666667,1,red,Exit
7.2,2,red,Exit
7.233333333333333,1,red,Exit
7.266666666666667,2,red,Entry
7.3,2,blue,Exit
7.366666666666666,1,red,Entry
7.366666666666666,2,blue,Entry
7.4,3,red,Exit
7.466666666666667,3,red,Exit
7.566666666666666,3,red,Entry
7.6,1,red,Exit
7.666666666666667,1,red,Exit
7.666666666666667,2,blue,Exit
7.7,2,red,Exit
7.733333333333333,2,red,Entry
7.8,3,red,Exit
7.833333333333333,3,red,Exit
7.866666666666666,1,red,Entry
7.866666666666666,2,blue,Entry
7.9,4,blue,Exit
7.933333333333334,3,red,Exit
7.933333333333334,4,blue,Exit
7.966666666666667,3,red,Exit
8.0,4,red,Entry
8.033333333333333,2,red,Exit
8.066666666666666,3,red,Entry
8.166666666666666,4,blue,Entry
8.2,2,red,Exit
8.2,2,blue,Exit
8.233333333333333,2,blue,Exit
8.266666666666667,2,red,Exit
8.3,4,red,Exit
8.333333333333334,4,red,Exit
8.4,2,red,Exit
8.433333333333334,2,red,Exit
8.466666666666667,1,red,Exit
8.533333333333333,1,red,Exit
8.633333333333333,2,red,Entry
8.666666666666666,3,red,Exit
8.766666666666667,3,red,Exit
8.866666666666667,1,red,Entry
8.9,3,red,Exit
8.933333333333334,3,red,Entry
8.966666666666667,2,red,Exit
9.066666666666666,2,red,Exit
9.133333333333333,4,red,Entry
9.166666666666666,1,red,Exit
9.2,2,red,Exit
9.233333333333333,3,red,Exit
9.266666666666667,3,red,Exit
9.266666666666667,2,blue,Entry
9.3,3,red,Exit
9.333333333333334,3,red,Exit
9.366666666666667,2,red,Entry
9.4,3,red,Exit
9.4,4,blue,Exit
9.433333333333334,4,red,Exit
9.466666666666667,4,blue,Exit
9.5,4,red,Exit
9.533333333333333,4,red,Exit
9.566666666666666,4,red,Exit
9.566666666666666,4,blue,Entry
9.6,4,red,Exit
9.633333333333333,4,red,Exit
9.7,4,red,Exit
9.7,2,blue,Exit
9.766666666666667,4,red,Exit
9.766666666666667,2,blue,Exit
10.266666666666667,4,red,Entry
10.3,2,red,Exit
10.333333333333334,2,red,Exit
10.366666666666667,2,red,Exit
10.4,3,red,Entry
10.433333333333334,2,red,Exit
10.466666666666667,2,red,Exit
10.5,2,red,Exit
10.533333333333333,2,red,Exit
10.566666666666666,2,red,Entry
10.6,4,red,Exit
10.633333333333333,4,red,Exit
10.666666666666666,4,red,Exit
10.766666666666667,4,red,Entry
10.8,3,red,Exit
10.866666666666667,3,red,Entry
10.966666666666667,2,blue,Entry
11.066666666666666,4,red,Exit
11.1,4,red,Exit
11.2,4,blue,Exit
11.266666666666667,1,red,Entry
11.266666666666667,4,blue,Entry
11.3,4,blue,Exit
11.333333333333334,4,red,Entry
11.366666666666667,4,blue,Exit
11.433333333333334,3,red,Exit
11.466666666666667,3,red,Exit
11.466666666666667,4,blue,Exit
11.5,3,red,Exit
11.5,4,blue,Entry
11.566666666666666,3,red,Entry
11.6,3,red,Exit
11.633333333333333,3,red,Entry
11.666666666666666,3,red,Exit
11.666666666666666,2,blue,Exit
11.7,3,red,Exit
11.733333333333333,1,red,Exit
11.766666666666667,1,red,Exit
11.8,3,red,Entry
11.8,2,blue,Entry
11.833333333333334,3,red,Exit
11.866666666666667,4,blue,Exit
11.9,3,red,Entry
11.933333333333334,4,blue,Exit
11.966666666666667,2,red,Exit
11.966666666666667,4,blue,Exit
12.0,4,blue,Exit
12.033333333333333,4,blue,Exit
12.066666666666666,2,red,Exit
12.1,3,red,Exit
12.133333333333333,2,red,Exit
12.133333333333333,4,blue,Exit
12.166666666666666,3,red,Exit
12.2,3,red,Exit
12.233333333333333,3,red,Exit
12.266666666666667,3,red,Exit
12.3,1,red,Exit
13.666666666666666,4,blue,Entry
13.7,2,blue,Exit
13.733333333333333,2,blue,Exit
13.766666666666667,2,blue,Exit
13.8,2,blue,Exit
13.966666666666667,2,blue,Entry
14.0,4,blue,Exit
14.033333333333333,4,blue,Exit
14.066666666666666,4,blue,Exit
14.1,4,blue,Exit
14.833333333333334,4,blue,Entry
14.9,2,blue,Exit
15.133333333333333,2,blue,Entry
15.2,4,blue,Exit
16.0,4,blue,Entry
16.6,4,blue,Exit
17.6,4,blue,Entry
17.733333333333334,2,red,Entry
17.766666666666666,4,red,Exit
17.766666666666666,2,blue,Exit
17.8,4,red,Exit
17.833333333333332,4,red,Exit
17.833333333333332,2,blue,Exit
17.866666666666667,4,red,Exit
17.9,4,red,Exit
17.9,2,blue,Entry
17.933333333333334,4,red,Exit
17.966666666666665,4,red,Exit
18.0,4,red,Exit
18.066666666666666,4,blue,Exit
18.133333333333333,4,blue,Exit
18.233333333333334,4,red,Entry
18.266666666666666,2,red,Exit
18.3,2,red,Exit
18.333333333333332,2,red,Exit
18.366666666666667,2,red,Exit
18.366666666666667,4,blue,Entry
18.4,2,red,Exit
18.4,2,blue,Exit
18.433333333333334,2,red,Exit
18.433333333333334,2,blue,Exit
18.466666666666665,2,red,Exit
18.466666666666665,2,blue,Exit
18.5,2,red,Exit
18.966666666666665,2,blue,Exit
19.0,2,blue,Exit
19.033333333333335,2,blue,Exit
19.066666666666666,2,blue,Exit
19.1,2,blue,Exit
19.2,2,blue,Entry
19.3,4,blue,Exit
19.5,4,blue,Entry
19.6,2,blue,Exit
20.0,2,blue,Entry
20.033333333333335,4,blue,Exit
20.333333333333332,4,blue,Entry
20.366666666666667,2,blue,Exit
21.266666666666666,1,red,Entry
21.3,4,red,Exit
21.333333333333332,3,red,Entry
21.366666666666667,2,red,Entry
21.433333333333334,4,red,Exit
21.5,4,red,Exit
21.533333333333335,4,red,Exit
21.6,4,red,Entry
21.633333333333333,3,red,Exit
21.666666666666668,3,red,Entry
21.7,4,red,Exit
21.733333333333334,1,red,Exit
21.766666666666666,4,red,Exit
21.8,1,red,Exit
21.833333333333332,2,red,Exit
21.866666666666667,1,red,Exit
21.933333333333334,2,red,Entry
22.033333333333335,2,blue,Entry
22.066666666666666,4,red,Entry
22.1,3,red,Exit
22.133333333333333,3,red,Exit
22.2,3,red,Entry
22.233333333333334,2,red,Exit
22.333333333333332,3,red,Exit
22.333333333333332,2,blue,Exit
22.366666666666667,3,red,Entry
22.4,4,red,Exit
22.433333333333334,4,red,Exit
22.5,2,red,Entry
22.533333333333335,3,red,Exit
22.566666666666666,1,red,Entry
22.6,3,red,Exit
22.633333333333333,4,red,Exit
22.8,3,red,Entry
22.866666666666667,1,red,Exit
22.9,2,red,Exit
22.933333333333334,2,red,Exit
23.033333333333335,1,red,Entry
23.066666666666666,2,red,Entry
23.1,4,red,Entry
23.133333333333333,2,red,Exit
23.166666666666668,3,red,Exit
23.233333333333334,3,red,Exit
23.266666666666666,2,red,Entry
23.3,3,red,Exit
23.333333333333332,1,red,Exit
23.366666666666667,2,red,Exit
23.5,3,red,Exit
23.533333333333335,1,red,Exit
23.566666666666666,2,red,Exit
23.6,2,red,Entry
23.633333333333333,4,red,Exit
23.666666666666668,4,red,Exit
23.7,4,red,Exit
23.733333333333334,4,red,Exit
23.766666666666666,4,red,Exit
23.8,4,red,Exit
23.833333333333332,4,red,Exit
23.866666666666667,4,red,Exit
23.9,2,blue,Entry
24.066666666666666,4,red,Entry
24.1,2,red,Exit
24.133333333333333,2,red,Exit
24.2,2,red,Exit
24.2,2,blue,Exit
24.233333333333334,2,red,Exit
24.266666666666666,2,red,Exit
24.3,2,red,Exit
24.366666666666667,2,red,Entry
24.4,4,red,Exit
24.433333333333334,4,red,Exit
24.5,4,red,Exit
24.533333333333335,4,red,Exit
24.633333333333333,4,red,Entry
24.666666666666668,2,red,Exit
24.7,3,red,Entry
24.733333333333334,2,red,Exit
24.8,1,red,Entry
24.8,2,blue,Entry
24.833333333333332,2,red,Exit
24.866666666666667,2,red,Entry
24.9,4,red,Exit
24.9,4,blue,Exit
24.933333333333334,4,red,Exit
24.966666666666665,4,red,Exit
25.0,3,red,Exit
25.0,4,blue,Exit
25.033333333333335,3,red,Exit
25.033333333333335,4,blue,Exit
25.066666666666666,2,red,Exit
25.066666666666666,4,blue,Exit
25.133333333333333,4,blue,Exit
25.166666666666668,2,red,Exit
25.166666666666668,4,blue,Exit
25.2,3,red,Exit
25.233333333333334,4,blue,Exit
25.266666666666666,4,blue,Exit
25.3,2,red,Entry
25.333333333333332,1,red,Exit
25.333333333333332,4,blue,Entry
25.366666666666667,3,red,Entry
25.4,1,red,Exit
25.4,2,blue,Exit
25.433333333333334,4,red,Entry
25.466666666666665,1,red,Exit
25.5,1,red,Exit
25.533333333333335,2,blue,Exit
25.566666666666666,2,blue,Exit
25.6,2,red,Exit
25.666666666666668,3,red,Exit
25.666666666666668,2,blue,Exit
25.7,2,red,Entry
25.7,2,blue,Entry
25.733333333333334,3,red,Entry
25.766666666666666,4,red,Exit
25.766666666666666,2,blue,Exit
25.8,4,red,Entry
25.833333333333332,2,blue,Entry
25.866666666666667,3,red,Exit
25.866666666666667,4,blue,Exit
25.933333333333334,3,red,Entry
25.966666666666665,1,red,Entry
26.0,2,red,Exit
26.0,4,blue,Entry
26.033333333333335,3,red,Exit
26.033333333333335,2,blue,Exit
26.066666666666666,3,red,Exit
26.1,3,red,Entry
26.1,2,blue,Exit
26.133333333333333,3,red,Exit
26.133333333333333,2,blue,Exit
26.166666666666668,2,red,Exit
26.166666666666668,2,blue,Exit
26.2,3,red,Exit
26.2,2,blue,Exit
26.266666666666666,3,red,Entry
26.4,3,red,Exit
26.466666666666665,2,blue,Entry
26.5,1,red,Exit
26.5,4,blue,Exit
26.533333333333335,3,red,Exit
26.533333333333335,4,blue,Exit
26.566666666666666,3,red,Exit
26.566666666666666,4,blue,Exit
26.766666666666666,4,blue,Entry
26.8,2,blue,Exit
26.833333333333332,2,blue,Exit
26.866666666666667,2,blue,Exit
28.133333333333333,2,blue,Entry
28.433333333333334,2,blue,Exit
29.433333333333334,2,blue,Entry
29.466666666666665,4,blue,Exit
29.5,4,blue,Exit
29.6,4,blue,Exit
30.0,4,blue,Exit
30.2,4,blue,Entry
30.266666666666666,2,blue,Exit
30.3,2,blue,Exit
30.333333333333332,2,blue,Exit
30.766666666666666,2,blue,Entry
30.8,4,blue,Exit
30.866666666666667,4,blue,Exit
30.9,4,blue,Exit
31.033333333333335,4,blue,Exit
31.1,4,blue,Entry
31.133333333333333,2,blue,Exit
31.166666666666668,2,blue,Exit
31.333333333333332,2,blue,Exit
31.366666666666667,2,blue,Exit
31.5,2,blue,Exit
31.966666666666665,2,blue,Entry
32.0,4,blue,Exit
32.266666666666666,4,blue,Entry
32.3,2,blue,Exit
32.96666666666667,2,blue,Entry
33.03333333333333,4,blue,Exit
33.06666666666667,4,blue,Exit
33.1,4,blue,Exit
33.166666666666664,4,blue,Exit
33.2,4,blue,Exit
33.666666666666664,4,blue,Exit
33.8,4,blue,Exit
34.166666666666664,4,blue,Exit
34.3,4,blue,Entry
34.333333333333336,2,blue,Exit
34.36666666666667,2,blue,Exit
34.4,2,blue,Exit
34.43333333333333,2,blue,Exit
34.46666666666667,2,blue,Exit
34.5,2,blue,Exit
34.53333333333333,2,blue,Exit
34.56666666666667,2,blue,Exit
34.733333333333334,2,blue,Entry
35.03333333333333,2,blue,Exit
35.2,2,blue,Entry
35.5,2,blue,Exit
36.0,4,yellow,Entry
36.03333333333333,2,yellow,Exit
36.06666666666667,2,yellow,Exit
36.1,2,yellow,Exit
36.13333333333333,2,yellow,Exit
36.166666666666664,2,yellow,Exit
36.2,2,yellow,Exit
36.233333333333334,2,yellow,Exit
36.266666666666666,2,yellow,Exit
36.3,2,blue,Entry
36.333333333333336,4,blue,Exit
36.36666666666667,4,blue,Exit
36.7,4,blue,Exit
36.733333333333334,4,blue,Exit
36.766666666666666,4,blue,Exit
36.8,4,blue,Exit
36.833333333333336,4,blue,Exit
36.86666666666667,4,blue,Exit
42.03333333333333,4,blue,Entry
42.06666666666667,2,red,Entry
42.06666666666667,2,blue,Exit
42.1,4,red,Exit
42.13333333333333,4,red,Exit
42.2,4,red,Exit
42.233333333333334,3,red,Entry
42.266666666666666,4,red,Exit
42.3,4,red,Exit
42.333333333333336,4,red,Exit
42.43333333333333,2,blue,Entry
42.46666666666667,4,red,Exit
42.53333333333333,3,red,Exit
42.666666666666664,4,blue,Exit
42.766666666666666,3,red,Entry
43.0,2,red,Exit
43.03333333333333,1,red,Entry
43.06666666666667,3,red,Exit
43.1,2,red,Exit
43.13333333333333,2,red,Exit
43.166666666666664,3,red,Entry
43.2,2,red,Exit
43.233333333333334,2,red,Exit
43.266666666666666,2,red,Exit
43.333333333333336,2,red,Entry
43.36666666666667,1,red,Exit
43.4,1,red,Exit
43.46666666666667,3,red,Exit
43.5,3,red,Exit
43.53333333333333,3,red,Exit
43.6,3,red,Exit
43.63333333333333,4,red,Entry
43.666666666666664,2,red,Exit
43.7,2,red,Exit
43.733333333333334,1,red,Exit
43.766666666666666,2,red,Exit
43.8,2,red,Exit
43.833333333333336,2,red,Exit
43.86666666666667,3,red,Exit
43.9,2,red,Exit
43.93333333333333,4,blue,Entry
43.96666666666667,2,blue,Exit
44.0,2,blue,Exit
44.03333333333333,2,red,Entry
44.03333333333333,2,blue,Exit
44.06666666666667,3,red,Entry
44.06666666666667,2,blue,Exit
44.1,4,red,Exit
44.1,2,blue,Exit
44.13333333333333,4,red,Exit
44.13333333333333,2,blue,Exit
44.166666666666664,4,red,Exit
44.166666666666664,2,blue,Exit
44.2,4,red,Exit
44.2,2,blue,Exit
44.233333333333334,4,red,Exit
